0.001633
-3376.502930,-700.204041,-4508.697754
-3099.748535,2404.536133,-3595.796143
1761.366577,2707.520752,-5577.139160
4475.746094,-961.791748,-5769.617676
7025.423828,-1311.914673,-2211.217041
4348.610352,-1002.414124,2581.699219
7651.074707,566.206421,4382.443848
6026.704590,-580.899170,4683.843750
1230.804321,866.201660,6995.663086
-3443.195068,2010.750610,6553.228516
-7293.562012,2003.303711,3528.633301
-9195.558594,-1418.906372,358.604980
-6110.771973,233.206558,-4535.770508
-3766.561768,2102.089355,-7176.480957
-3682.073730,3923.803223,-4404.875977
-3099.748535,2404.536133,-3595.796143
-2599.940918,2907.250732,-3542.371826
